City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Champerico,GT,14.3,-91.9167,82.76,74,91,3.8,overcast clouds
1,Hobyo,SO,5.3505,48.5268,75.43,77,76,22.79,broken clouds
2,Ambon,ID,-3.6954,128.1814,86.14,70,40,5.75,scattered clouds
3,Alcaniz,ES,41.05,-0.1333,67.42,61,87,11.36,moderate rain
4,Vaini,TO,-21.2,-175.2,78.96,83,20,8.05,few clouds
5,Hithadhoo,MV,-0.6,73.0833,81.36,74,100,6.67,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,54.81,53,100,7.7,overcast clouds
7,Missoula,US,47.0166,-113.8009,73.8,34,0,4.5,clear sky
8,Howard Springs,AU,-12.497,131.047,87.98,61,100,6.85,overcast clouds
9,Tallahassee,US,30.4383,-84.2807,82.63,86,75,0.0,broken clouds
10,Saint Anthony,US,45.0205,-93.218,80.71,56,1,1.01,clear sky
11,Avarua,CK,-21.2078,-159.775,77.05,83,75,6.91,broken clouds
12,Barrow,US,71.2906,-156.7887,39.22,96,90,14.97,light rain
13,Cukai,MY,4.25,103.4167,87.94,72,100,5.17,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,54.28,54,100,8.05,overcast clouds
15,Torbay,CA,47.6666,-52.7314,55.58,94,90,8.05,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,71.62,74,23,7.49,few clouds
17,Viedma,AR,-40.8135,-62.9967,44.91,58,76,10.04,broken clouds
18,Kamina,CD,-8.7386,24.9906,56.3,50,89,8.25,overcast clouds
19,Vasilyevskiy Mokh,RU,57.0132,35.919,61.38,66,100,3.15,overcast clouds
20,Progreso,MX,21.2833,-89.6667,82.51,83,70,10.27,broken clouds
21,Hofn,IS,64.2539,-15.2082,51.12,89,22,10.71,few clouds
22,Makakilo City,US,21.3469,-158.0858,88.12,61,75,11.5,broken clouds
23,Ushuaia,AR,-54.8,-68.3,33.46,86,20,14.97,few clouds
24,Eyl,SO,7.9803,49.8164,78.75,61,95,23.26,overcast clouds
25,Poum,NC,-20.2333,164.0167,72.95,69,20,24.27,few clouds
26,Mataura,NZ,-46.1927,168.8643,49.48,87,100,0.58,overcast clouds
27,Hamilton,US,39.1834,-84.5333,79.0,86,20,0.0,few clouds
28,Lipari,IT,38.4674,14.954,82.09,65,11,9.1,few clouds
29,Bluff,NZ,-46.6,168.3333,49.8,84,100,2.98,overcast clouds
30,Baykit,RU,61.67,96.37,84.0,40,62,6.29,broken clouds
31,Pochutla,MX,15.7432,-96.4661,83.25,92,99,4.07,overcast clouds
32,Hilo,US,19.7297,-155.09,75.11,94,90,5.75,mist
33,Sisimiut,GL,66.9395,-53.6735,46.99,81,100,7.23,light rain
34,Cherskiy,RU,68.75,161.3,55.26,45,0,15.88,clear sky
35,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,88,1,8.05,clear sky
36,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,18.41,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,12.66,clear sky
38,Yuli,NG,9.6989,10.2744,71.46,97,98,5.86,overcast clouds
39,Cape Town,ZA,-33.9258,18.4232,61.11,27,0,2.3,clear sky
40,Port Alfred,ZA,-33.5906,26.891,59.83,31,62,12.44,broken clouds
41,Tuatapere,NZ,-46.1333,167.6833,49.82,94,100,0.85,heavy intensity rain
42,Busselton,AU,-33.65,115.3333,65.05,72,0,26.37,clear sky
43,Kapaa,US,22.0752,-159.319,85.98,78,40,4.0,light rain
44,Butaritari,KI,3.0707,172.7902,78.4,88,99,14.12,moderate rain
45,Hobart,AU,-42.8794,147.3294,57.06,54,40,6.91,light rain
46,Jamestown,US,42.097,-79.2353,71.24,85,1,1.01,clear sky
47,Sawakin,SD,19.1059,37.3321,89.65,49,65,0.85,broken clouds
48,Georgetown,MY,5.4112,100.3354,88.9,75,20,1.14,haze
49,Kodiak,US,57.79,-152.4072,56.71,72,40,8.05,scattered clouds
50,Geraldton,AU,-28.7667,114.6,67.12,72,40,13.8,scattered clouds
51,Yellowknife,CA,62.456,-114.3525,58.28,54,75,6.91,broken clouds
52,Taoudenni,ML,22.6783,-3.9836,96.46,7,0,5.77,clear sky
53,Euskirchen,DE,50.6667,6.7833,63.7,88,92,1.01,overcast clouds
54,Upernavik,GL,72.7868,-56.1549,43.14,72,100,3.49,overcast clouds
55,Aklavik,CA,68.2191,-135.0107,54.43,82,100,12.46,overcast clouds
56,Bilibino,RU,68.0546,166.4372,62.91,43,27,2.55,scattered clouds
57,Castro,BR,-24.7911,-50.0119,54.77,59,15,3.51,few clouds
58,New Norfolk,AU,-42.7826,147.0587,56.7,88,100,1.99,overcast clouds
59,Egvekinot,RU,66.3167,-179.1667,49.06,78,100,2.35,overcast clouds
60,Wuwei,CN,37.9281,102.6414,77.79,31,100,6.17,overcast clouds
61,Thinadhoo,MV,0.5333,72.9333,82.29,70,97,4.76,overcast clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,71.55,88,5,8.99,clear sky
63,Chuy,UY,-33.6971,-53.4616,58.12,98,21,5.75,few clouds
64,Cape Coast,GH,5.1053,-1.2466,74.03,84,57,10.51,broken clouds
65,Lorengau,PG,-2.0226,147.2712,85.75,64,41,6.31,scattered clouds
66,Miraflores,MX,19.2167,-98.8083,63.03,86,81,3.96,broken clouds
67,Cabo San Lucas,MX,22.8909,-109.9124,88.81,72,5,8.01,clear sky
68,Caibarien,CU,22.5206,-79.4669,76.32,85,95,9.17,light rain
69,Lethem,GY,3.3803,-59.7968,74.43,92,100,6.15,overcast clouds
70,Nikolskoye,RU,59.7035,30.7861,64.8,65,71,3.69,broken clouds
71,Mattru,SL,7.6244,-11.8332,72.46,95,98,1.45,overcast clouds
72,Chokurdakh,RU,70.6333,147.9167,55.58,41,49,9.64,scattered clouds
73,Kerrville,US,30.0474,-99.1403,80.53,71,1,3.44,clear sky
74,Koslan,RU,63.4564,48.8989,50.22,82,78,4.92,broken clouds
75,Altamira,BR,-3.2033,-52.2064,71.94,66,10,1.25,clear sky
76,Houma,US,29.5958,-90.7195,84.99,84,8,4.21,clear sky
77,Richards Bay,ZA,-28.783,32.0377,54.12,86,0,7.23,clear sky
78,Mar Del Plata,AR,-38.0023,-57.5575,46.13,60,0,4.0,clear sky
79,Parrita,CR,9.5201,-84.3225,81.52,89,100,6.64,overcast clouds
80,Tasiilaq,GL,65.6145,-37.6368,41.16,82,24,3.13,few clouds
81,Murmansk,RU,68.0,34.0,43.52,75,100,8.7,overcast clouds
82,Kembe,CF,4.6228,21.8865,67.44,96,99,1.86,overcast clouds
83,Provideniya,RU,64.3833,-173.3,50.11,81,90,8.95,overcast clouds
84,Nanortalik,GL,60.1432,-45.2371,44.37,75,94,10.18,overcast clouds
85,Olinda,BR,-8.0089,-34.8553,71.33,83,75,5.75,broken clouds
86,Harper,LR,4.375,-7.7169,75.63,77,58,7.38,broken clouds
87,Moncao,PT,42.0789,-8.4808,63.75,94,7,3.47,clear sky
88,Gawan,IN,28.4333,78.35,86.76,66,99,9.62,overcast clouds
89,Xining,CN,36.6167,101.7667,61.2,64,100,6.08,overcast clouds
90,Pontarlier,FR,46.8333,6.25,57.65,95,70,2.3,broken clouds
91,Klaksvik,FO,62.2266,-6.589,50.92,95,100,7.47,overcast clouds
92,Waddan,LY,29.1614,16.139,74.73,55,0,6.78,clear sky
93,Port Hardy,CA,50.6996,-127.4199,62.78,82,75,0.0,broken clouds
94,Kiama,AU,-34.6833,150.8667,64.99,54,58,13.0,broken clouds
