City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Clarence Town,AU,69.35,clear sky,-32.5833,151.7833,River Downs Cottage
3,Maragogi,BR,72.79,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
5,Itamaraca,BR,72.28,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
10,Rikitea,PF,71.8,scattered clouds,-23.1203,-134.9692,People ThankYou
14,Geraldton,AU,67.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
15,Touros,BR,72.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
22,Janauba,BR,61.63,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
30,Puerto Ayora,EC,71.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
35,Lasa,IT,62.02,moderate rain,46.6166,10.7002,Pension Feldgärtenhof
36,Arraial Do Cabo,BR,69.39,clear sky,-22.9661,-42.0278,Pousada Porto Praia
42,Ribeira Grande,PT,69.49,clear sky,38.5167,-28.7,Quinta da Meia Eira
49,Salinas,US,68.56,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
50,Ponta Do Sol,PT,73.0,clear sky,32.6667,-17.1,Hotel do Campo
52,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
64,Ashtian,IR,70.47,clear sky,34.5217,50.0019,بنیاد مسکن شهرستان آشتیان
66,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Fort Nelson,CA,72.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
73,Xining,CN,60.3,overcast clouds,36.6167,101.7667,Super Leisure Hotel
83,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Pacific Grove,US,64.63,broken clouds,36.6177,-121.9166,Lovers Point Inn
89,Natal,BR,73.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
94,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
96,Hilo,US,74.93,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
101,Vila Velha,BR,62.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
102,Half Moon Bay,US,74.75,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
107,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
112,Flinders,AU,64.8,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
115,Nikolskoye,RU,65.01,broken clouds,59.7035,30.7861,Tourist House - Sablino
117,Mayumba,GA,69.24,scattered clouds,-3.432,10.6554,LIKWALE LODGE
123,Orasac,BA,68.83,overcast clouds,44.6289,16.0711,Guesthouse Huco & Rasema
125,Khatanga,RU,63.88,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
127,Bende,NG,68.16,scattered clouds,5.5572,7.6368,Bende Local Government Corppers Lodge
128,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
129,Lompoc,US,68.14,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
130,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
138,Bradford,GB,61.23,few clouds,53.7939,-1.7521,The Bradford Hotel
141,Sao Miguel Do Araguaia,BR,70.88,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
146,Vila Franca Do Campo,PT,66.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
147,Axim,GH,74.34,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
153,Norman Wells,CA,66.24,smoke,65.282,-126.8329,Heritage Hotel
155,Mabaruma,GY,70.99,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
159,Kutum,SD,72.48,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
161,Kupino,RU,61.47,overcast clouds,54.3663,77.2981,Hotel Sibiria Inn
162,Saint-Pierre,RE,69.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
163,Antonina,BR,69.62,clear sky,-25.4286,-48.7119,Hotel Capelista
164,Luanda,AO,68.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
166,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Sovetskiy,RU,60.67,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
170,Vao,NC,70.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
172,Derzhavinsk,KZ,67.15,clear sky,51.1,66.3167,Ooo.khim Baza
176,Catemaco,MX,71.82,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
178,Hastings,GB,63.9,broken clouds,50.8552,0.5729,Zanzibar Hotel
179,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
180,Cidreira,BR,68.14,light rain,-30.1811,-50.2056,Hotel Castelo
181,Hovd,MN,72.97,few clouds,48.0056,91.6419,Hotel Khovd
184,Santa Elena,EC,70.56,overcast clouds,-2.2333,-80.85,HOTEL CISNE II
185,Tommot,RU,74.5,clear sky,58.9564,126.2925,Gostinitsa Tommot
189,College,US,69.78,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
191,Correntina,BR,62.35,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
192,Sao Filipe,CV,73.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
193,Paita,PE,66.2,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
195,Manjeri,IN,74.08,drizzle,11.1167,76.1167,ITTC
