City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camacha,PT,33.0833,-16.3333,68.54,94,75,6.91,broken clouds
1,Avarua,CK,-21.2078,-159.775,75.25,88,75,4.61,broken clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,21,3.0,few clouds
3,Kodiak,US,57.79,-152.4072,56.71,72,90,5.75,overcast clouds
4,Thompson,CA,55.7435,-97.8558,42.96,81,40,0.0,scattered clouds
5,Busselton,AU,-33.65,115.3333,66.04,74,0,26.42,clear sky
6,Faanui,PF,-16.4833,-151.75,78.01,71,59,11.95,broken clouds
7,Hilo,US,19.7297,-155.09,74.93,94,90,9.22,moderate rain
8,Rikitea,PF,-23.1203,-134.9692,71.89,75,45,9.15,scattered clouds
9,New Norfolk,AU,-42.7826,147.0587,57.65,44,97,8.97,light rain
10,Mount Gambier,AU,-37.8333,140.7667,57.11,88,75,16.11,broken clouds
11,Kavieng,PG,-2.5744,150.7967,83.26,69,32,4.7,scattered clouds
12,Hermanus,ZA,-34.4187,19.2345,57.16,54,100,6.6,overcast clouds
13,Abu Road,IN,24.4833,72.7833,77.61,96,100,4.59,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,35.26,80,40,14.97,scattered clouds
15,Wanning,CN,18.8003,110.3967,88.57,71,92,6.55,overcast clouds
16,Kavaratti,IN,10.5669,72.642,81.81,80,100,19.6,overcast clouds
17,Atuona,PF,-9.8,-139.0333,77.95,73,6,24.61,clear sky
18,Katsuura,JP,35.1333,140.3,86.14,66,86,16.53,overcast clouds
19,Medina,SA,24.4686,39.6142,93.63,11,0,10.36,clear sky
20,Lagos,NG,6.5833,3.75,77.32,79,78,4.88,broken clouds
21,Vaini,TO,-21.2,-175.2,78.96,83,75,3.44,broken clouds
22,Bluff,NZ,-46.6,168.3333,48.79,93,100,6.78,light rain
23,Paamiut,GL,61.994,-49.6678,47.44,63,100,7.72,overcast clouds
24,Byumba,RW,-1.5763,30.0675,53.8,55,100,8.48,overcast clouds
25,Inuvik,CA,68.3499,-133.7218,54.46,87,75,5.75,broken clouds
26,Laguna,US,38.421,-121.4238,87.62,42,1,1.99,clear sky
27,Maniitsoq,GL,65.4167,-52.9,47.77,71,100,15.79,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,59.54,32,77,12.75,broken clouds
29,Rawson,AR,-43.3002,-65.1023,41.59,51,33,19.6,scattered clouds
30,Hobart,AU,-42.8794,147.3294,58.01,66,75,1.01,broken clouds
31,Souillac,MU,-20.5167,57.5167,74.35,64,40,14.97,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,57.61,58,0,9.22,clear sky
33,Jizan,SA,17.3333,42.6667,85.14,71,73,10.27,broken clouds
34,Bam,IR,29.106,58.357,96.62,9,22,24.54,few clouds
35,Rosarito,MX,32.3333,-117.0333,70.75,85,55,5.91,broken clouds
36,Uray,RU,60.1247,64.7758,61.95,51,100,8.39,overcast clouds
37,Victoria,HK,22.2855,114.1577,93.04,74,67,7.0,broken clouds
38,Codrington,AU,-38.2667,141.9667,56.44,84,84,16.89,broken clouds
39,Tiarei,PF,-17.5333,-149.3333,77.02,72,5,6.67,clear sky
40,Saint-Pierre,RE,-21.3393,55.4781,73.08,57,0,19.57,clear sky
41,Mataura,NZ,-46.1927,168.8643,48.47,98,100,2.93,light rain
42,Margate,GB,51.3813,1.3862,64.87,91,88,1.99,overcast clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,68.97,78,0,26.13,clear sky
44,Okato,NZ,-39.2,173.8833,51.42,91,97,17.45,overcast clouds
45,La Ronge,CA,55.1001,-105.2842,59.25,88,90,5.75,overcast clouds
46,Antsohihy,MG,-14.8796,47.9875,77.7,43,68,13.73,broken clouds
47,Butaritari,KI,3.0707,172.7902,79.39,83,100,13.85,light rain
48,Zhigansk,RU,66.7697,123.3711,79.79,47,52,4.74,broken clouds
49,Saskylakh,RU,71.9167,114.0833,62.15,54,96,14.2,overcast clouds
50,Charters Towers,AU,-20.1,146.2667,78.17,16,51,7.16,broken clouds
51,Zabol,AF,32.25,67.25,92.32,15,53,6.55,broken clouds
52,Hithadhoo,MV,-0.6,73.0833,81.84,74,100,6.51,heavy intensity rain
53,Prince Rupert,CA,54.3161,-130.3201,57.29,94,90,3.44,moderate rain
54,Paracuru,BR,-3.41,-39.0306,78.82,84,7,13.24,clear sky
55,Mackay,AU,-21.15,149.2,73.04,64,38,17.27,scattered clouds
56,Komsomolskiy,UZ,40.4272,71.7189,97.52,26,0,9.22,clear sky
57,Bubaque,GW,11.2833,-15.8333,79.23,82,100,7.92,light rain
58,Severo-Kurilsk,RU,50.6789,156.125,60.51,90,69,5.7,broken clouds
59,Lebu,CL,-37.6167,-73.65,45.19,78,10,16.75,clear sky
60,College,US,64.8569,-147.8028,69.78,57,40,5.75,scattered clouds
61,Salta,AR,-24.7859,-65.4117,48.49,76,0,2.3,clear sky
62,Sitka,US,57.0531,-135.33,57.09,77,75,0.0,broken clouds
63,Hasaki,JP,35.7333,140.8333,81.28,76,100,20.67,overcast clouds
64,Gigmoto,PH,13.7796,124.39,86.83,70,100,11.88,overcast clouds
65,Georgetown,MY,5.4112,100.3354,89.89,74,20,5.99,haze
66,The Valley,AI,18.217,-63.0578,82.26,83,77,19.55,broken clouds
67,Half Moon Bay,US,37.4636,-122.4286,70.18,83,1,1.01,clear sky
68,Alyangula,AU,-13.8483,136.4192,84.07,37,64,8.05,broken clouds
69,Kaitangata,NZ,-46.2817,169.8464,46.33,95,100,5.1,overcast clouds
70,Galich,RU,58.3797,42.3475,69.1,48,50,7.63,scattered clouds
71,Ancud,CL,-41.8697,-73.8203,35.13,77,25,7.83,scattered clouds
72,Salalah,OM,17.0151,54.0924,78.89,89,75,6.91,broken clouds
73,East London,ZA,-33.0153,27.9116,58.14,30,0,11.5,clear sky
74,Yazykovo,RU,55.2199,56.1353,66.13,38,14,6.02,few clouds
75,Zeya,RU,53.75,127.2667,76.53,69,2,5.28,light rain
76,Mahibadhoo,MV,3.7833,72.9667,82.0,76,100,8.81,moderate rain
77,Saint-Philippe,RE,-21.3585,55.7679,73.22,66,39,10.38,scattered clouds
78,Okhotsk,RU,59.3833,143.3,62.1,83,91,4.76,overcast clouds
79,Zurrieq,MT,35.8311,14.4742,78.96,88,0,6.91,clear sky
80,Yellowknife,CA,62.456,-114.3525,54.12,66,20,6.91,few clouds
81,Jamestown,US,42.097,-79.2353,67.33,93,1,1.52,clear sky
82,Saint George,US,37.1041,-113.5841,81.32,64,1,1.01,clear sky
83,Pisco,PE,-13.7,-76.2167,59.02,82,20,3.44,few clouds
84,Tasiilaq,GL,65.6145,-37.6368,41.16,84,20,1.57,few clouds
85,Coria,ES,39.9879,-6.5377,65.44,84,0,3.04,clear sky
86,Provideniya,RU,64.3833,-173.3,48.31,81,90,4.47,fog
87,Rio Grande,BR,-32.035,-52.0986,60.89,92,62,6.53,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,46.0,60,0,4.0,clear sky
89,Klaksvik,FO,62.2266,-6.589,52.72,95,100,6.82,overcast clouds
90,Namibe,AO,-15.1961,12.1522,69.84,56,0,6.64,clear sky
91,Dukat,RU,62.55,155.55,53.01,99,100,3.42,moderate rain
92,Paracale,PH,14.2804,122.7881,92.5,53,72,12.15,broken clouds
93,Nikolskoye,RU,59.7035,30.7861,73.29,46,49,4.21,scattered clouds
94,Bredasdorp,ZA,-34.5322,20.0403,56.52,41,100,4.61,overcast clouds
95,Fort Nelson,CA,58.8053,-122.7002,60.39,72,20,3.44,few clouds
96,Port-Gentil,GA,-0.7193,8.7815,73.36,94,40,4.61,scattered clouds
97,Talnakh,RU,69.4865,88.3972,65.52,71,99,3.29,overcast clouds
98,Esperance,AU,-33.8667,121.9,66.04,59,8,19.55,clear sky
99,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,11.5,clear sky
100,Lorengau,PG,-2.0226,147.2712,85.41,66,38,2.3,scattered clouds
101,Kisangani,CD,0.5167,25.2,73.83,84,94,1.05,overcast clouds
102,Guerrero Negro,MX,27.9769,-114.0611,68.07,83,18,8.61,few clouds
103,Ribeira Grande,PT,38.5167,-28.7,69.55,86,9,15.1,clear sky
104,Queseria,MX,19.3667,-103.5833,65.93,97,99,0.76,overcast clouds
105,Saldanha,ZA,-33.0117,17.9442,55.45,44,100,19.1,overcast clouds
